order_id,customer_id,product_id,order_date,order_time,region,category,quantity,unit_price,discount_pct,payment_method,customer_age,rating,return_flag,shipping_city,order_date_clean,order_datetime,year,month,day,hour,normalized_return_flag,revenue,age_group
ORD001382,CUST00230,PROD0156,10/17/2022,22:51:03,West,Beauty,9,399.15,7.8,Credit Card,35,3.1,No,Dallas,10/17/2022,10/17/2022 22:51,2022,10,17,22,0,3312.1467,Young Adult
ORD001002,CUST00176,PROD0197,24/09/2023,13:43:20,Central,Home & Garden,8,105.48,16,Bank Transfer,38,1.9,Yes,Phoenix,9/24/2023,9/24/2023 13:43,2023,9,24,13,1,708.8256,Adult
ORD002682,CUST00138,PROD0103,11/1/2022,8:34:16,East,Electronics,4,587.89,37.5,Credit Card,44,2.5,No,Miami,11/1/2022,11/1/2022 8:34,2022,11,1,8,0,1469.725,Adult
ORD002322,Unknown,PROD0178,10/2/2023,13:36:06,Central,Home & Garden,5,198.49,28.6,Bank Transfer,72,1.5,No,Phoenix,10/2/2023,10/2/2023 13:36,2023,10,2,13,0,708.6093,Senior
ORD001669,CUST00188,PROD0178,14/05/2023,19:32:47,South,Beauty,2,50,33.2,Cash,52,3.6,No,Los Angeles,5/14/2023,5/14/2023 19:32,2023,5,14,19,0,66.8,Middle Age
ORD002153,CUST00220,PROD0144,4/12/2022,19:32:03,West,Beuaty,8,319.79,39.5,Cash,37,3.5,No,Miami,4/12/2022,4/12/2022 19:32,2022,4,12,19,0,1547.7836,Adult
ORD001917,CUST00063,PROD0004,7/22/2023,16:19:57,East,Beauty,3,365.82,11.6,Cash,47,3.2,No,Denver,7/22/2023,7/22/2023 16:19,2023,7,22,16,0,970.15464,Adult
ORD002116,CUST00354,PROD0076,4/2/2022,18:07:30,East,Beauty,5,47.33,36.3,Bank Transfer,55,2.5,No,Phoenix,4/2/2022,4/2/2022 18:07,2022,4,2,18,0,150.74605,Middle Age
ORD002046,CUST00257,PROD0179,8/16/2022,6:51:44,North,Beauty,9,223.51,31,Cash,47,2.7,No,Atlanta,8/16/2022,8/16/2022 6:51,2022,8,16,6,0,1387.9971,Adult
ORD001495,CUST00503,PROD0022,13/01/2022,2:34:05,West,Sports,8,25.08,18.2,Credit Card,24,4.3,No,New York,1/13/2022,1/13/2022 2:34,2022,1,13,2,0,164.12352,Young Adult
ORD002304,CUST00073,PROD0137,25/04/2023,21:35:13,North,Toys,5,50,0.9,Bank Transfer,30,2.2,Yes,Houston,4/25/2023,4/25/2023 21:35,2023,4,25,21,1,247.75,Young Adult
ORD001111,CUST00505,PROD0019,7/12/2023,13:10:28,South,Toys,2,222.95,38.1,Bank Transfer,15,1.1,No,Miami,7/12/2023,7/12/2023 13:10,2023,7,12,13,0,276.0121,Teen
ORD001654,CUST00181,PROD0185,12/1/2023,13:22:08,South,Electronics,3,753.05,26.4,Cash,73,3.5,No,Houston,12/1/2023,12/1/2023 13:22,2023,12,1,13,0,1662.7344,Senior
ORD001292,CUST00553,PROD0114,1/22/2023,22:20:11,East,Sports,4,395.47,2.1,Cash,30,1.3,No,Houston,1/22/2023,1/22/2023 22:20,2023,1,22,22,0,1548.66052,Young Adult
ORD002402,CUST00271,PROD0082,19/02/2023,16:19:57,South,Books,1,357.63,0.2,Cash,70,3.2,No,Chicago,2/19/2023,2/19/2023 16:19,2023,2,19,16,0,356.91474,Middle Age
ORD001742,CUST00387,PROD0141,11/7/2022,16:13:46,East,Electronics,2,241.07,14.3,Debit Card,26,2.6,No,Seattle,11/7/2022,11/7/2022 16:13,2022,11,7,16,0,413.19398,Young Adult
ORD001937,CUST00568,PROD0195,11/7/2023,18:29:22,East,Sports,9,150.79,3.9,Credit Card,72,1.9,No,Houston,7/11/2023,7/11/2023 18:29,2023,7,11,18,0,1304.18271,Senior
ORD001711,CUST00430,PROD0068,1/6/2023,11:02:59,North,Spoorts,7,222.53,35.8,PayPal,32,4.4,No,Chicago,1/6/2023,1/6/2023 11:02,2023,1,6,11,0,1000.04982,Young Adult
ORD002504,CUST00032,PROD0181,3/9/2023,11:58:13,South,Books,1,45.79,1.2,PayPal,50,2,No,Denver,9/3/2023,9/3/2023 11:58,2023,9,3,11,0,45.24052,Adult
ORD001158,CUST00261,PROD0143,8/27/2022,17:23:35,North,Books,8,255.65,14,PayPal,50,2,No,Denver,8/27/2022,8/27/2022 17:23,2022,8,27,17,0,1758.872,Adult
ORD002317,CUST00389,PROD0057,3/10/2023,15:20:30,South,Sports,1,118.21,2.2,Cash,40,1.6,No,Denver,3/10/2023,3/10/2023 15:20,2023,3,10,15,0,115.60938,Adult
ORD002353,CUST00067,PROD0072,2/23/2022,7:05:39,South,Beauty,8,228.51,16,PayPal,26,3,No,Atlanta,2/23/2022,2/23/2022 7:05,2022,2,23,7,0,1535.5872,Young Adult
ORD002592,CUST00177,PROD0128,6/4/2023,15:22:20,North,Toys,9,326.25,32.4,Debit Card,29,1.4,No,New York,4/6/2023,4/6/2023 15:22,2023,4,6,15,0,1984.905,Young Adult
ORD001972,CUST00245,PROD0171,8/13/2022,20:29:55,West,Beauty,2,227.86,12.4,Cash,32,1.2,Yes,Phoenix,8/13/2022,8/13/2022 20:29,2022,8,13,20,1,399.21072,Young Adult
ORD002546,CUST00420,PROD0104,10/3/2022,6:39:16,South,Books,10,277.09,18.1,PayPal,49,4.2,No,Chicago,3/10/2022,3/10/2022 6:39,2022,3,10,6,0,2269.3671,Adult
ORD002008,CUST00462,PROD0099,1/17/2023,7:51:57,East,Beauty,1,150.85,21.1,PayPal,47,2.2,No,Miami,1/17/2023,1/17/2023 7:51,2023,1,17,7,0,119.02065,Adult
ORD001217,CUST00555,PROD0006,3/16/2023,15:12:04,East,Sports,8,145,13.4,Credit Card,59,1.9,No,Phoenix,3/16/2023,3/16/2023 15:12,2023,3,16,15,0,1004.56,Middle Age
ORD002714,CUST00552,PROD0107,3/16/2022,10:56:08,North,Sports,1,190.58,0,Bank Transfer,42,3.6,No,Chicago,3/16/2022,3/16/2022 10:56,2022,3,16,10,0,190.58,Adult
ORD001431,CUST00424,PROD0084,3/28/2023,8:28:15,East,Electronics,5,248,32.7,Bank Transfer,51,4.1,No,  Denver  ,3/28/2023,3/28/2023 8:28,2023,3,28,8,0,834.52,Middle Age
ORD001594,Unknown,PROD0071,15/01/2023,15:23:33,South,Sports,6,287.92,28.2,Credit Card,25,1.8,No,Dallas,1/15/2023,1/15/2023 15:23,2023,1,15,15,0,1240.35936,Young Adult
ORD002442,CUST00413,PROD0185,6/1/2022,13:21:34,Unknown,Books,6,367.06,33.2,PayPal,22,2.1,No,Dallas,1/6/2022,1/6/2022 13:21,2022,1,6,13,0,1471.17648,Young Adult
ORD002453,CUST00394,PROD0120,19/05/2023,6:18:18,South,Sports,4,346.26,29.9,Bank Transfer,38,4.9,No,  New York  ,5/19/2023,5/19/2023 6:18,2023,5,19,6,0,970.91304,Adult
ORD002492,CUST00451,PROD0175,10/2/2022,7:49:22,East,Electronics,5,420.33,8.9,PayPal,66,1.3,Yes,New York,10/2/2022,10/2/2022 7:49,2022,10,2,7,1,1914.60315,Middle Age
ORD001207,CUST00594,PROD0180,3/4/2022,4:02:15,West,Books,3,24.38,12.3,Credit Card,75,1.1,No,  Seattle  ,4/3/2022,4/3/2022 4:02,2022,4,3,4,0,64.14378,Senior
ORD001908,CUST00565,PROD0155,9/25/2023,13:31:43,South,Home & Garden,1,384.9,33.7,Bank Transfer,62,1.9,No,Phoenix,9/25/2023,9/25/2023 13:31,2023,9,25,13,0,255.1887,Middle Age
ORD001032,CUST00185,PROD0037,3/6/2022,21:58:37,East,Beauty,7,40.8,0.4,Debit Card,60,3.6,No,Denver,3/6/2022,3/6/2022 21:58,2022,3,6,21,0,284.4576,Middle Age
ORD002294,CUST00459,PROD0188,12/11/2023,7:52:51,East,Books,2,171.67,2.5,PayPal,53,2.5,No,Miami,12/11/2023,12/11/2023 7:52,2023,12,11,7,0,334.7565,Middle Age
ORD002669,CUST00533,PROD0191,5/9/2023,14:04:06,Central,Electrnics,3,829.77,6.8,PayPal,61,0,Yes,Los Angeles,5/9/2023,5/9/2023 14:04,2023,5,9,14,1,2320.03692,Middle Age
ORD002303,CUST00015,PROD0160,10/10/2022,16:36:28,Central,Books,10,74.76,9.1,Debit Card,61,4.3,No,Dallas,10/10/2022,10/10/2022 16:36,2022,10,10,16,0,679.5684,Middle Age
ORD002051,CUST00433,PROD0099,6/20/2023,11:22:09,North,Clothing,8,158.07,26.8,PayPal,34,3.7,No,Houston,6/20/2023,6/20/2023 11:22,2023,6,20,11,0,925.65792,Young Adult
ORD002711,CUST00126,PROD0157,10/2/2023,6:36:34,South,Clothing,7,162,0.1,Cash,60,4.7,No,Atlanta,2/10/2023,2/10/2023 6:36,2023,2,10,6,0,1132.866,Middle Age
ORD001456,CUST00097,PROD0025,9/9/2023,7:43:23,East,Electronnics,10,102.85,13.1,Bank Transfer,18,4.9,Yes,Chicago,9/9/2023,9/9/2023 7:43,2023,9,9,7,1,893.7665,Teen
ORD001880,CUST00145,PROD0151,1/18/2022,6:20:05,West,Home & Garden,1,162.54,5.7,Cash,70,7,No,Houston,1/18/2022,1/18/2022 6:20,2022,1,18,6,0,153.27522,Middle Age
ORD001191,CUST00145,PROD0013,26/12/2023,16:34:28,North,Books,4,120.47,15.3,PayPal,24,2.9,No,Atlanta,12/26/2023,12/26/2023 16:34,2023,12,26,16,0,408.15236,Young Adult
ORD002215,CUST00148,PROD0042,8/24/2023,14:57:01,North,Electronics,4,199.25,36.6,Debit Card,60,4.9,No,  Atlanta  ,8/24/2023,8/24/2023 14:57,2023,8,24,14,0,505.298,Middle Age
ORD002052,CUST00236,PROD0030,8/26/2022,20:24:34,Central,Beauty,7,175.26,33.5,Bank Transfer,18,4.6,No,Miami,8/26/2022,8/26/2022 20:24,2022,8,26,20,0,815.8353,Teen
ORD002367,CUST00175,PROD0053,9/4/2022,12:31:18,South,Home & Garden,2,250.29,2,Debit Card,38,3.6,No,Dallas,9/4/2022,9/4/2022 12:31,2022,9,4,12,0,490.5684,Adult
ORD002291,CUST00534,PROD0041,5/26/2022,12:54:47,East,Beauty,5,35.3,30.7,Credit Card,37,1.1,No,Chicago,5/26/2022,5/26/2022 12:54,2022,5,26,12,0,122.3145,Adult
ORD002699,CUST00393,PROD0097,11/1/2022,8:33:59,Unknown,Electronics,4,1070.72,3.4,Debit Card,61,3.5,No,New York,11/1/2022,11/1/2022 8:33,2022,11,1,8,0,4137.26208,Middle Age
ORD002449,CUST00056,PROD0069,22/09/2022,17:37:37,Central,Unknown,3,234.73,15.6,Credit Card,67,3.8,No,New York,9/22/2022,9/22/2022 17:37,2022,9,22,17,0,594.33636,Middle Age
ORD002243,CUST00008,PROD0062,2/11/2023,18:45:32,North,Clohing,3,91.46,20.3,Cash,58,2.8,No,Seattle,11/2/2023,11/2/2023 18:45,2023,11,2,18,0,218.68086,Middle Age
ORD002310,CUST00557,PROD0029,27/01/2023,20:05:24,Central,Home & Garden,3,259.54,28.6,Debit Card,28,4,No,Dallas,1/27/2023,1/27/2023 20:05,2023,1,27,20,0,555.93468,Young Adult
ORD002534,CUST00160,PROD0195,16/02/2022,8:58:25,Central,Electronics,3,989.45,16.4,Bank Transfer,64,1,Yes,Atlanta,2/16/2022,2/16/2022 8:58,2022,2,16,8,1,2481.5406,Middle Age
ORD002624,CUST00455,PROD0005,3/14/2022,11:46:24,North,Electronics,6,197.21,31.8,Credit Card,72,1.7,No,Miami,3/14/2022,3/14/2022 11:46,2022,3,14,11,0,806.98332,Senior
ORD001951,CUST00582,PROD0130,11/17/2023,8:51:40,North,Books,7,308.85,36.4,Credit Card,30,2.1,No,Dallas,11/17/2023,11/17/2023 8:51,2023,11,17,8,0,1375.0002,Young Adult
ORD001285,CUST00409,PROD0011,10/26/2023,20:29:36,Central,Books,6,106.27,13.9,Cash,47,2.2,No,Seattle,10/26/2023,10/26/2023 20:29,2023,10,26,20,0,548.99082,Adult
ORD002056,CUST00561,PROD0128,5/22/2023,8:29:11,North,Clothing,3,93.28,5.8,Cash,69,1.2,No,Dallas,5/22/2023,5/22/2023 8:29,2023,5,22,8,0,263.60928,Middle Age
ORD001757,CUST00372,PROD0041,5/7/2022,18:10:35,South,Beauty,6,346.28,21.3,Credit Card,50,4.5,No,Los Angeles,5/7/2022,5/7/2022 18:10,2022,5,7,18,0,1635.13416,Adult
ORD001883,CUST00226,PROD0190,2/27/2023,12:43:49,North,Clothing,2,157.42,24.2,PayPal,30,4.4,No,Los Angeles,2/27/2023,2/27/2023 12:43,2023,2,27,12,0,238.64872,Young Adult
ORD001174,CUST00590,PROD0007,4/2/2022,2:38:41,West,Toys,7,271.98,39.6,Credit Card,70,1.7,No,Chicago,2/4/2022,2/4/2022 2:38,2022,2,4,2,0,1149.93144,Middle Age
ORD001419,CUST00516,PROD0161,2/20/2022,1:10:36,West,Sports,7,232.53,24.1,Credit Card,65,1.4,No,New York,2/20/2022,2/20/2022 1:10,2022,2,20,1,0,1235.43189,Middle Age
ORD001579,CUST00325,PROD0109,2/7/2023,12:40:40,South,Clothing,6,15.92,11.4,Bank Transfer,37,1.7,No,Denver,2/7/2023,2/7/2023 12:40,2023,2,7,12,0,84.63072,Adult
ORD001168,CUST00069,PROD0026,1/27/2022,9:31:12,East,Sprots,3,375.74,25,Debit Card,51,99,No,Seattle,1/27/2022,1/27/2022 9:31,2022,1,27,9,0,845.415,Middle Age
ORD001986,CUST00183,PROD0119,21/05/2023,3:45:50,West,Books,8,234.29,25.4,Credit Card,30,4.5,No,Phoenix,5/21/2023,5/21/2023 3:45,2023,5,21,3,0,1398.24272,Young Adult
ORD002491,CUST00122,PROD0043,11/8/2022,14:42:40,East,Beauty,7,185.26,36.3,Credit Card,41,4.1,No,New York,11/8/2022,11/8/2022 14:42,2022,11,8,14,0,826.07434,Adult
ORD001107,CUST00031,PROD0064,5/2/2022,13:10:06,Central,Electronics,8,985.69,2.2,Bank Transfer,65,2.1,No,New York,5/2/2022,5/2/2022 13:10,2022,5,2,13,0,7712.03856,Middle Age
ORD001791,CUST00124,PROD0061,28/01/2023,7:51:47,East,Sports,1,94.38,10.5,Debit Card,56,1.6,No,Atlanta,1/28/2023,1/28/2023 7:51,2023,1,28,7,0,84.4701,Middle Age
ORD002268,CUST00508,PROD0031,6/25/2022,7:29:20,North,Electronics,2,802.56,21.2,Credit Card,69,3.670571096,Yes,Atlanta,6/25/2022,6/25/2022 7:29,2022,6,25,7,1,1264.83456,Middle Age
ORD001862,CUST00075,PROD0054,5/4/2022,18:24:39,South,Beauty,6,111.26,10.3,Bank Transfer,63,2.9,No,New York,4/5/2022,4/5/2022 18:24,2022,4,5,18,0,598.80132,Middle Age
ORD002405,CUST00057,PROD0061,4/17/2022,16:39:09,North,Clothing,10,148.1,2.6,Credit Card,27,3.8,No,Phoenix,4/17/2022,4/17/2022 16:39,2022,4,17,16,0,1442.494,Young Adult
ORD002065,CUST00551,PROD0118,12/2/2022,18:55:41,Central,Toys,7,317.6,13.7,PayPal,73,2.6,No,Los Angeles,2/12/2022,2/12/2022 18:55,2022,2,12,18,0,1918.6216,Senior
ORD002584,CUST00354,PROD0200,19/02/2023,15:44:17,West,Beauty,7,280,27.6,Debit Card,48,3.5,No,New York,2/19/2023,2/19/2023 15:44,2023,2,19,15,0,1419.04,Adult
ORD001464,CUST00257,PROD0058,3/12/2022,15:32:04,South,Toys,1,190.19,1,Debit Card,46,1.8,No,Chicago,3/12/2022,3/12/2022 15:32,2022,3,12,15,0,188.2881,Adult
ORD002514,CUST00299,PROD0056,3/24/2022,20:18:21,North,Electrnics,8,1159.48,0.6,Bank Transfer,40,2.2,No,Chicago,3/24/2022,3/24/2022 20:18,2022,3,24,20,0,9220.18496,Adult
ORD001713,CUST00103,PROD0026,2/18/2022,18:33:27,North,Books,1,333.09,21.8,PayPal,27,3.670571096,No,Seattle,2/18/2022,2/18/2022 18:33,2022,2,18,18,0,260.47638,Young Adult
ORD001847,CUST00189,PROD0093,8/21/2023,10:48:41,South,Sports,8,292.52,19.1,Cash,47,1.1,Yes,Atlanta,8/21/2023,8/21/2023 10:48,2023,8,21,10,1,1893.18944,Adult
ORD002487,CUST00343,PROD0076,28/04/2022,16:13:49,East,Electronics,8,1017.95,21.1,Credit Card,63,3.4,No,Seattle,4/28/2022,4/28/2022 16:13,2022,4,28,16,0,6425.3004,Middle Age
ORD002606,CUST00143,PROD0095,8/28/2022,10:43:43,East,Sports,1,376.1,25,PayPal,75,3.5,No,Atlanta,8/28/2022,8/28/2022 10:43,2022,8,28,10,0,282.075,Senior
ORD002431,CUST00004,PROD0042,11/12/2023,6:43:28,South,Books,10,20.29,28.3,Debit Card,58,3.9,No,Seattle,12/11/2023,12/11/2023 6:43,2023,12,11,6,0,145.4793,Middle Age
ORD002719,CUST00341,PROD0060,12/26/2023,17:33:07,North,Home & Garden,8,259.26,25.1,Debit Card,23,1.7,Yes,Chicago,12/26/2023,12/26/2023 17:33,2023,12,26,17,1,1553.48592,Young Adult
ORD002354,CUST00158,PROD0046,3/1/2023,9:47:16,East,Clothing,2,22.26,15.8,Credit Card,21,2.6,Yes,New York,3/1/2023,3/1/2023 9:47,2023,3,1,9,1,37.48584,Young Adult
ORD002576,CUST00539,PROD0012,1/22/2023,11:36:40,East,Books,9,85,30.6,Debit Card,57,2,No,Chicago,1/22/2023,1/22/2023 11:36,2023,1,22,11,0,530.91,Middle Age
ORD002395,CUST00589,PROD0174,8/22/2023,15:37:42,Central,Books,6,274.81,19.6,Credit Card,36,3.7,No,Miami,8/22/2023,8/22/2023 15:37,2023,8,22,15,0,1325.68344,Adult
ORD001971,CUST00013,PROD0125,11/4/2022,21:05:54,East,Home & Garden,10,325.13,18.1,Cash,50,1.8,No,  Miami  ,4/11/2022,4/11/2022 21:05,2022,4,11,21,0,2662.8147,Adult
ORD001307,CUST00392,PROD0172,5/21/2022,9:31:41,North,Electronics,6,15,19.2,Credit Card,54,1.9,Yes,Chicago,5/21/2022,5/21/2022 9:31,2022,5,21,9,1,72.72,Middle Age
ORD002536,CUST00218,PROD0101,5/11/2022,6:50:21,South,Home & Garden,1,226.55,8.4,Cash,47,3.670571096,No,Los Angeles,11/5/2022,11/5/2022 6:50,2022,11,5,6,0,207.5198,Adult
ORD002383,CUST00358,PROD0198,4/14/2022,20:25:11,Central,Clothing,8,32.82,14.2,Bank Transfer,55,3.670571096,No,Houston,4/14/2022,4/14/2022 20:25,2022,4,14,20,0,225.27648,Middle Age
ORD001615,CUST00559,PROD0004,9/27/2023,13:56:19,East,Books,10,66.48,34.9,PayPal,63,0,No,Houston,9/27/2023,9/27/2023 13:56,2023,9,27,13,0,432.7848,Middle Age
ORD002665,CUST00129,PROD0107,8/8/2022,22:06:20,West,Home & Garden,4,279.73,31.6,Bank Transfer,31,4.4,No,New York,8/8/2022,8/8/2022 22:06,2022,8,8,22,0,765.34128,Young Adult
ORD001063,CUST00532,PROD0158,8/5/2022,16:10:25,Central,Unknown,9,246.44,20.4,Bank Transfer,71,2.2,No,Miami,8/5/2022,8/5/2022 16:10,2022,8,5,16,0,1765.49616,Senior
ORD002729,CUST00093,PROD0015,15/10/2023,18:22:54,South,Sprots,10,202.27,11,Cash,41,4.5,No,Seattle,10/15/2023,10/15/2023 18:22,2023,10,15,18,0,1800.203,Adult
ORD002459,CUST00584,PROD0002,7/1/2023,21:01:16,Central,Beauty,6,309.72,21.9,Debit Card,71,7,No,Seattle,7/1/2023,7/1/2023 21:01,2023,7,1,21,0,1451.34792,Senior
ORD001356,CUST00488,PROD0055,11/17/2023,8:22:27,Central,Home & Garden,5,186.53,17.7,Bank Transfer,21,3,No,Houston,11/17/2023,11/17/2023 8:22,2023,11,17,8,0,767.57095,Young Adult
ORD001006,CUST00073,PROD0122,8/9/2023,21:15:50,North,Toys,8,118.61,14.2,Debit Card,45,1.8,No,Phoenix,9/8/2023,9/8/2023 21:15,2023,9,8,21,0,814.13904,Adult
ORD002363,CUST00070,PROD0193,9/9/2023,17:50:26,North,Toys,6,77.38,13.4,Bank Transfer,41,2.7,No,Chicago,9/9/2023,9/9/2023 17:50,2023,9,9,17,0,402.06648,Adult
