order_id,customer_id,product_id,order_date,order_time,region,category,quantity,unit_price,discount_pct,payment_method,customer_age,rating,return_flag,shipping_city
ORD001382,CUST00230,PROD0156,10-17-2022,22:51:03,  West  ,Beauty,9,399.15,7.8,Credit Card,35.0,3.1,No,DALLAS
ORD001002,CUST00176,PROD0197,24/09/2023,13:43:20,Central,home & garden,8,105.48,16.0,Bank Transfer,38.0,1.9,Yes,Phoenix
ORD002682,CUST00138,PROD0103,2022/11/01,08:34:16,East,Electronics,4,587.89,37.5,Credit Card,44.0,2.5,No,MIAMI
ORD002322,,PROD0178,10-02-2023,13:36:06,  Central  ,Home & Garden,5,198.49,28.6,Bank Transfer,72.0,1.5,No,Phoenix
ORD001669,CUST00188,PROD0178,14/05/2023,19:32:47,South,Beauty,2,-50.0,33.2,Cash,52.0,3.6,No,Los Angeles
ORD002153,CUST00220,PROD0144,2022/04/12,19:32:03,West,Beuaty,8,319.79,39.5,Cash,37.0,3.5,No,Miami
ORD001917,CUST00063,PROD0004,07-22-2023,16:19:57,East,beauty,3,365.82,11.6,Cash,,3.2,No,Denver
ORD002116,CUST00354,PROD0076,2022/04/02,18:07:30,East,Beauty,5,47.33,36.3,Bank Transfer,55.0,2.5,No,Phoenix
ORD002046,CUST00257,PROD0179,2022/08/16,06:51:44,NORTH,Beauty,9,223.51,31.0,Cash,47.0,2.7,No,Atlanta
ORD001495,CUST00503,PROD0022,13/01/2022,02:34:05,West,Sports,8,25.08,18.2,Credit Card,24.0,4.3,No,New York
ORD002304,CUST00073,PROD0137,25/04/2023,21:35:13,north,Toys,5,-50.0,0.9,Bank Transfer,30.0,2.2,Yes,Houston
ORD001111,CUST00505,PROD0019,07-12-2023,13:10:28,  South  ,Toys,2,222.95,38.1,Bank Transfer,150.0,1.1,No,Miami
ORD001654,CUST00181,PROD0185,2023/12/01,13:22:08,south,Electronics,3,753.05,26.4,Cash,73.0,3.5,No,Houston
ORD001292,CUST00553,PROD0114,01-22-2023,22:20:11,EAST,Sports,4,395.47,2.1,Cash,30.0,1.3,No,Houston
ORD002402,CUST00271,PROD0082,19/02/2023,16:19:57,South,Books,1,$357.63,0.2,Cash,70.0,3.2,No,Chicago
ORD001742,CUST00387,PROD0141,2022/11/07,16:13:46,East,Electronics,2,241.07,14.3,Debit Card,26.0,2.6,No,Seattle
ORD001937,CUST00568,PROD0195,11/07/2023,18:29:22,East,Sports,9,150.79,3.9,Credit Card,72.0,1.9,No,houston
ORD001711,CUST00430,PROD0068,2023/01/06,11:02:59,  North  ,Spoorts,7,222.53,35.8,PayPal,32.0,4.4,No,chicago
ORD002504,CUST00032,PROD0181,03/09/2023,11:58:13,South,Books,1,45.79,1.2,PayPal,50.0,2.0,No,Denver
ORD001158,CUST00261,PROD0143,2022/08/27,17:23:35,North,Books,8,255.65,14.0,PayPal,-5.0,2.0,No,Denver
ORD002317,CUST00389,PROD0057,03-10-2023,15:20:30,south,Sports,1,118.21,2.2,Cash,40.0,1.6,No,Denver
ORD002353,CUST00067,PROD0072,02-23-2022,07:05:39,South,Beauty,8,228.51,16.0,PayPal,26.0,3.0,No,Atlanta
ORD002592,CUST00177,PROD0128,06/04/2023,15:22:20,  North  ,TOYS,9,USD 326.25,32.4,Debit Card,29.0,1.4,No,NEW YORK
